Single Family Residential,1174 Solana Dr,Mountain View,CA,94040,2300000,3,1.5,MOUNTAIN VIEW,1292,6800,1952
Townhouse,Plan 7B Plan,Mountain View,CA,94040,1490990,2,2.5,Mountain View,1153,,
Townhouse,194 Greyhawk Ct,Mountain View,CA,94043,1368888,3,2.5,Mountain View,1594,741,2007
Condo/Co-op,3E Plan,Sunnyvale,CA,94086,1699995,3,3.0,Sunnyvale,1751,,
Vacant Land,2142 22nd St,San Francisco,CA,94107,1550000,,,SF District 9,,2495,
Condo/Co-op,2412 Harrison St #214,San Francisco,CA,94110,1249000,2,2.0,SF District 9,1513,15313,2002
Single Family Residential,1251 Madrona Ave,San Jose,CA,95125,3700000,5,6.0,SAN JOSE,3769,7038,2024
Townhouse,1823 Passage St,Milpitas,CA,95035,1311935,2,2.5,Milpitas,1271,,2024
Multi-Family (5+ Unit),1410 Hess Rd,Redwood City,CA,94061,3880000,10,9.0,REDWOOD CITY,5416,8625,1958
Mobile/Manufactured Home,1201 Sycamore Ter #122,Sunnyvale,CA,94086,199999,2,1.0,SUNNYVALE,840,,1997
Condo/Co-op,130 E San Fernando St #508,San Jose,CA,95112,829000,2,2.0,SAN JOSE,1622,,1998
Condo/Co-op,370 De Haro St Unit B4,San Francisco,CA,94103,995000,1,2.0,SF District 9,1180,23254,1999
Other,00 Cleo,Cupertino,CA,95014,3500000,,,CUPERTINO,,9583,
Condo/Co-op,229 Brannan St Unit 15D,San Francisco,CA,94107,2089000,2,2.0,SF District 9,,,2001
Mobile/Manufactured Home,1050 Borregas Ave #1,Sunnyvale,CA,94089,390000,3,2.5,SUNNYVALE,1720,,2013
Single Family Residential,5819 Firestone Ct,San Jose,CA,95138,3298000,5,5.0,SAN JOSE,3408,7916,1998
Mobile/Manufactured Home,726 Millstream Dr #726,San Jose,CA,95125,259900,2,2.0,SAN JOSE,1383,,1979
Single Family Residential,1458 Bellemeade St,San Jose,CA,95131,2280000,5,3.0,SAN JOSE,2410,4050,1998
Condo/Co-op,Della Plan,Milpitas,CA,95035,1256995,2,2.5,Milpitas,1270,,
Condo/Co-op,157 Capp St,San Francisco,CA,94110,699000,1,1.0,SF District 9,850,2832,1907
Other,2401 23rd St,San Francisco,CA,94110,1299000,4,,SF District 9,2250,1873,1916
Single Family Residential,1026 Masonic Ave,San Francisco,CA,94117,1299000,3,1.5,SF District 5,1752,2750,1904
Condo/Co-op,549 Shoal Cir,Redwood City,CA,94065,1050000,1,2.0,Redwood City,1323,,1992
Single Family Residential,956 S 9th St,San Jose,CA,95112,1398000,3,2.0,SAN JOSE,1760,5875,1992
Townhouse,43509 Ocaso Corte,Fremont,CA,94539,1749888,3,2.5,MISSION FREMONT,2058,1769,1979
Condo/Co-op,388 Union Ave Unit B,Campbell,CA,95008,1049800,3,2.5,CAMPBELL,1332,,1981
Condo/Co-op,1853 Almaden Rd #412,San Jose,CA,95125,960800,3,2.0,SAN JOSE,1191,,2024
Condo/Co-op,1 Daniel Burnham Ct #617,San Francisco,CA,94109,568000,0,1.0,SF District 8,586,46157,1988
Multi-Family (2-4 Unit),1656 Queen Charlotte Dr,Sunnyvale,CA,94087,1999000,8,4.0,SUNNYVALE,3446,6426,1962
Condo/Co-op,212 Eaton #12,San Mateo,CA,94402,998000,2,2.0,SAN MATEO,1310,24750,1928
Townhouse,Residence 1A1 Plan,Fremont,CA,94538,1143880,2,2.5,Fremont,1291,,
Condo/Co-op,252 Sequim Cmn,Fremont,CA,94539,698000,2,2.0,WARM SPRINGS,897,16756,1985
Single Family Residential,Plan 1 Plan,San Mateo,CA,94403,2774990,4,3.5,San Mateo,2565,,
Condo/Co-op,1 Baldwin Ave #222,San Mateo,CA,94401,339000,2,1.0,SAN MATEO,1100,,1988
Condo/Co-op,176 Hackamore Cmn,Fremont,CA,94539,649000,2,1.0,WARM SPRINGS,878,87120,1984
Other,00 San Bruno Ave,Morgan Hill,CA,95037,1379000,,,MORGAN HILL,,354142,
PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT
Single Family Residential,1150 White Pine Ter,Sunnyvale,CA,94086,2795000,4,3.0,SUNNYVALE,2376,5858,1990
Single Family Residential,1203 Farley St,Mountain View,CA,94043,1980000,3,1.0,MOUNTAIN VIEW,882,6120,1950
Condo/Co-op,767 Bryant St #203,San Francisco,CA,94107,1798998,2,3.0,SAN FRANCISCO,3496,,2002
Multi-Family (5+ Unit),538 Columbia Ave,Sunnyvale,CA,94085,2099999,9,7.0,SUNNYVALE,4101,8646,1961
Condo/Co-op,600 Alvarado St #4,San Francisco,CA,94114,1785000,3,2.0,SF District 5,1775,4107,1925
Single Family Residential,2223 Ensenada Way,San Mateo,CA,94403,2100000,4,2.0,SAN MATEO,1746,5500,1948
Multi-Family (2-4 Unit),1970 Southwest,San Jose,CA,95126,1950000,9,7.0,SAN JOSE,4339,9204,1973
Townhouse,140 Quincy Ter,Fremont,CA,94536,1460932,4,2.5,Fremont,1690,,2025
Condo/Co-op,350 Church St Unit B,San Francisco,CA,94114,850000,2,1.0,Not Listed,1050,,1981
Single Family Residential,1353 Washington St,San Francisco,CA,94109,1098000,3,1.0,SF District 8,1700,1820,1908
Townhouse,990 La Mesa Ter Unit D,Sunnyvale,CA,94086,650000,2,1.0,SUNNYVALE,834,816,1986
Single Family Residential,Lot 9 Plan Plan,Newark,CA,94560,1943000,5,3.5,Newark,2570,,
Mobile/Manufactured Home,1225 Vienna Dr #727,Sunnyvale,CA,94089,324900,2,3.0,SUNNYVALE,1560,,2022
Single Family Residential,5640 Comanche Ct,San Jose,CA,95123,1698000,4,3.0,SAN JOSE,2219,7200,1968
Condo/Co-op,1 Baldwin Ave #322,San Mateo,CA,94401,249000,1,2.0,SAN MATEO,1112,,1988
Single Family Residential,1386 Saratoga Dr,Milpitas,CA,95035,1549999,3,2.0,MILPITAS,1176,6300,1964
Mobile/Manufactured Home,1201 Sycamore Ter #19,Sunnyvale,CA,94086,284900,2,2.0,SUNNYVALE,920,,2017
Condo/Co-op,37486 Parish Cir Unit 19A,Fremont,CA,94536,659000,2,2.0,FREMONT,942,,1989
Mobile/Manufactured Home,690 Persian Dr #52,Sunnyvale,CA,94085,439900,3,2.0,SUNNYVALE,1800,,2020
Mobile/Manufactured Home,Southlake-3bd-2ba Plan,Fremont,CA,94538,399900,3,2.0,Fremont,1500,,
Condo/Co-op,95 Red Rock Way Unit 110M,San Francisco,CA,94131,465000,0,1.0,SF District 4,474,6834,1972
Single Family Residential,5951 Kyburz Pl,San Jose,CA,95120,1995000,3,2.5,SAN JOSE,2535,3513,1982
Condo/Co-op,1 Baldwin Ave #912,San Mateo,CA,94401,159000,1,1.0,SAN MATEO,981,,1988
Single Family Residential,1236 Wisconsin St,San Francisco,CA,94107,895000,3,2.0,SF District 9,956,,1984
Vacant Land,0 Lilac Ave,Woodside,CA,94062,25000,,,Woodside,3000,3000,
Single Family Residential,531 Sonora Dr,San Mateo,CA,94402,2395000,3,2.0,Aragon,1605,5564,1950
Condo/Co-op,425 1st St #3702,San Francisco,CA,94105,2198000,2,2.0,SF District 9,1309,56024,2008
Condo/Co-op,730 Florida St #4,San Francisco,CA,94110,869000,1,2.0,SF District 9,928,10001,2001
Condo/Co-op,8461 Traminer Ct,San Jose,CA,95135,819988,2,2.0,SAN JOSE,1646,,1978
Condo/Co-op,10 Crystal Springs Rd #1405,San Mateo,CA,94402,1688888,2,2.0,SAN MATEO,1732,,2008
Townhouse,1304 Barbet Cir #3,Sunnyvale,CA,94087,1700000,3,3.0,SUNNYVALE,1740,,2024
Condo/Co-op,820 N Delaware St #410,San Mateo,CA,94401,738000,2,1.0,SAN MATEO,974,,1965
Mobile/Manufactured Home,3015 E Bayshore Rd #191,Redwood City,CA,94063,349000,3,2.0,REDWOOD CITY,1060,,1991
Single Family Residential,37368 Normandy Ter,Fremont,CA,94536,1495000,4,2.5,PERALTA,1631,3713,1997
Multi-Family (2-4 Unit),1137-1139 Kansas St,San Francisco,CA,94107,1698000,5,2.0,SF District 9,2796,2500,1907
Condo/Co-op,10 Innes Ct #102,San Francisco,CA,94124,778888,3,2.0,SAN FRANCISCO,1223,,2018
Mobile/Manufactured Home,2151 Oakland Rd #231,San Jose,CA,95131,324999,3,2.0,SAN JOSE,1440,,1972
Single Family Residential,Plan 2 Plan,San Mateo,CA,94403,2634990,4,3.5,San Mateo,2300,,
Single Family Residential,971 Calaveras Ridge Dr,Milpitas,CA,95035,5980000,6,5.5,MILPITAS,6633,76665,1990
Condo/Co-op,3313 Lake Albano Cir,San Jose,CA,95135,758000,2,2.0,San Jose,1184,1655,1985
Townhouse,21401 Dana Point Ln,Cupertino,CA,95014,2606990,4,3.5,Cupertino,2075,,2025
Condo/Co-op,219 Kiely Blvd Unit B,Santa Clara,CA,95051,775000,2,2.0,SANTA CLARA,1012,,1971
Single Family Residential,3535 Mission St Unit B,San Francisco,CA,94110,849000,3,1.0,SF District 9,1380,2626,1915
Townhouse,1976 Nevets Ln,San Jose,CA,95133,998000,3,4.0,SAN JOSE,1895,,2018
Condo/Co-op,325 Channing Ave #104,Palo Alto,CA,94301,3780000,2,2.5,PALO ALTO,2081,,2004
Single Family Residential,3055 Beard Rd,Fremont,CA,94555,1325000,3,2.5,NORTH GATE,1406,6001,1986
Townhouse,10 Brush Pl,San Francisco,CA,94103,900000,2,1.0,SF District 9,,2443,1991
Townhouse,4173 El Camino Real #44,Palo Alto,CA,94306,1988000,3,3.5,PALO ALTO,2010,,1992
