SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,119 Daphne Way,East Palo Alto,CA,94303,1200000,4,2.0,East Palo Alto,1570,6680,1955,10,764,,Active,,,https://www.redfin.com/CA/East-Palo-Alto/119-Daphne-Way-94303/home/1174134,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41081683,N,Y,37.4536479,-122.1233501
MLS Listing,,Condo/Co-op,3073 Middlefield Rd #101,Palo Alto,CA,94306,989000,1,1.0,PALO ALTO,876,,1986,29,1129,622,Active,January-18-2025 01:30 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/3073-Middlefield-Rd-94306/unit-101/home/1136076,MLSListings,ML81988782,N,Y,37.4313903,-122.1240462
MLS Listing,,Single Family Residential,240 Wilton Ave,Palo Alto,CA,94306,3680000,4,4.0,Palo Alto,2055,7100,1946,1,1791,,Active,January-18-2025 01:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/240-Wilton-Ave-94306/home/1626901,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41082790,N,Y,37.4208664,-122.1309991
MLS Listing,,Single Family Residential,5 Oak Forest Ct,Portola Valley,CA,94028,5988000,4,5.5,PORTOLA VALLEY,4210,66246,1995,1,1422,,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Portola-Valley/5-Oak-Forest-Ct-94028/home/909796,MLSListings,ML81990000,N,Y,37.3611503,-122.2035779
MLS Listing,,Condo/Co-op,532 Channing Ave #301,Palo Alto,CA,94301,2595000,3,2.5,PALO ALTO,2088,,1981,1,1243,1250,Active,January-18-2025 01:30 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/532-Channing-Ave-94301/unit-301/home/1245494,MLSListings,ML81990737,N,Y,37.4454366,-122.1533823
MLS Listing,,Single Family Residential,430 Homer Ave,Palo Alto,CA,94301,2198000,2,2.0,PALO ALTO,1114,3750,1903,1,1973,,Active,January-18-2025 01:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/430-Homer-Ave-94301/home/1486372,MLSListings,ML81990309,N,Y,37.4451448,-122.1559955
MLS Listing,,Condo/Co-op,314 Grant Ave,Palo Alto,CA,94306,1050000,2,1.0,PALO ALTO,928,,1983,1,1131,639,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Palo-Alto/314-Grant-Ave-94306/home/767737,MLSListings,ML81990623,N,Y,37.426257,-122.142422
MLS Listing,,Single Family Residential,1929 Bryant St,Palo Alto,CA,94301,8995000,4,3.0,PALO ALTO,2200,12373,1952,1,4089,,Active,January-18-2025 02:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/1929-Bryant-St-94301/home/1222352,MLSListings,ML81990620,N,Y,37.4348002,-122.1434077
MLS Listing,,Condo/Co-op,161 California Ave Unit K206,Palo Alto,CA,94306,1050000,2,1.5,PALO ALTO,1247,,1982,1,842,957,Active,January-18-2025 02:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/161-California-Ave-94306/unit-K206/home/1626804,MLSListings,ML81990327,N,Y,37.4284486,-122.1428015
MLS Listing,,Multi-Family (2-4 Unit),1851 Woodland Ave,East Palo Alto,CA,94303,1795000,8,4.0,EAST PALO ALTO,2920,11848,1953,2,615,,Active,,,https://www.redfin.com/CA/East-Palo-Alto/1851-Woodland-Ave-94303/home/2058169,MLSListings,ML81990488,N,Y,37.4544957,-122.1324407
MLS Listing,,Townhouse,4173 El Camino Real #44,Palo Alto,CA,94306,1988000,3,3.5,PALO ALTO,2010,,1992,2,989,817,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Palo-Alto/4173-El-Camino-Real-94306/unit-44/home/1590861,MLSListings,ML81990004,N,Y,37.4122523,-122.1237938
MLS Listing,,Single Family Residential,777 Newell Rd,Palo Alto,CA,94303,2998000,3,2.0,PALO ALTO,1816,7188,1959,2,1651,,Active,January-18-2025 01:30 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/777-Newell-Rd-94303/home/546456,MLSListings,ML81990468,N,Y,37.4506043,-122.138114
MLS Listing,,Single Family Residential,4164 Wilkie Way,Palo Alto,CA,94306,2595000,3,2.0,PALO ALTO,1596,6160,1950,3,1626,,Active,January-18-2025 01:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/4164-Wilkie-Way-94306/home/603383,MLSListings,ML81990183,N,Y,37.413186,-122.1221965
MLS Listing,,Single Family Residential,2525 Mardell Way,Mountain View,CA,94043,2380000,3,2.0,MOUNTAIN VIEW,1589,5376,1958,4,1498,,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Mountain-View/2525-Mardell-Way-94043/home/1227424,MLSListings,ML81990265,N,Y,37.4121354,-122.104004
MLS Listing,,Single Family Residential,1308 Harker Ave,Palo Alto,CA,94301,10270000,7,7.5,Palo Alto,5903,10000,2011,4,1740,,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Palo-Alto/1308-Harker-Ave-94301/home/544614,MLSListings,ML81990195,N,Y,37.446432,-122.1419189
MLS Listing,,Condo/Co-op,4388 El Camino Real #338,Los Altos,CA,94022,815000,1,1.0,Los Altos,787,763,2009,8,1036,738,Active,January-18-2025 01:30 PM,January-18-2025 04:30 PM,https://www.redfin.com/CA/Los-Altos/4388-El-Camino-Real-94022/unit-338/home/23047451,MLSListings,ML81989855,N,Y,37.4035825,-122.1183808
MLS Listing,,Single Family Residential,148 Kingsley Ave,Palo Alto,CA,94301,6499000,7,7.0,PALO ALTO,5575,10000,2000,8,1166,,Active,January-19-2025 02:00 PM,January-19-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/148-Kingsley-Ave-94301/home/1771004,MLSListings,ML81989847,N,Y,37.4384216,-122.1542255
MLS Listing,,Single Family Residential,1861 Middlefield Rd,Palo Alto,CA,94301,3998000,3,2.5,PALO ALTO,1979,7000,1940,9,2020,,Active,January-18-2025 02:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/1861-Middlefield-Rd-94301/home/546888,MLSListings,ML81989792,N,Y,37.4401825,-122.1394915
MLS Listing,,Multi-Family (5+ Unit),827 University Ave,Palo Alto,CA,94301,5200000,10,8.0,PALO ALTO,6300,12600,1955,9,825,,Active,January-22-2025 12:00 PM,January-22-2025 01:00 PM,https://www.redfin.com/CA/Palo-Alto/827-University-Ave-94301/home/543131,MLSListings,ML81989705,N,Y,37.4524652,-122.1555148
MLS Listing,,Single Family Residential,2110 Hanover St,Palo Alto,CA,94306,2199888,3,2.0,PALO ALTO,1193,3688,1938,10,1844,,Active,January-18-2025 01:00 PM,January-18-2025 04:00 PM,https://www.redfin.com/CA/Palo-Alto/2110-Hanover-St-94306/home/1641508,MLSListings,ML81989563,N,Y,37.4204531,-122.1537045
MLS Listing,,Multi-Family (5+ Unit),405 Kipling St,Palo Alto,CA,94301,3995000,4,4.0,PALO ALTO,2196,5936,1900,37,1819,,Active,,,https://www.redfin.com/CA/Palo-Alto/405-Kipling-St-94301/home/177435115,MLSListings,ML81988311,N,Y,37.448551,-122.1607962
MLS Listing,,Single Family Residential,543 Tennyson Ave,Palo Alto,CA,94301,14280000,7,6.5,PALO ALTO,5756,10000,2022,41,2481,,Active,,,https://www.redfin.com/CA/Palo-Alto/543-Tennyson-Ave-94301/home/1111786,MLSListings,ML81987942,N,Y,37.438946,-122.1427031
MLS Listing,,Single Family Residential,771 Barron Ave,Palo Alto,CA,94306,5060000,4,4.5,PALO ALTO,2861,8368,2024,42,1769,,Active,,,https://www.redfin.com/CA/Palo-Alto/771-Barron-Ave-94306/home/1732082,MLSListings,ML81988073,N,Y,37.4140272,-122.1349787
MLS Listing,,Other,4103 Old Trace Rd,Palo Alto,CA,94306,8000000,,,PALO ALTO,,44701,,44,,,Active,,,https://www.redfin.com/CA/Palo-Alto/4103-Old-Trace-Rd-94306/home/53415060,MLSListings,ML81987889,N,Y,37.39716,-122.137232
MLS Listing,,Multi-Family (2-4 Unit),676-680 Colorado Ave,Palo Alto,CA,94306,2689900,4,3.5,Palo Alto,1400,5350,1948,64,1921,,Active,,,https://www.redfin.com/CA/Palo-Alto/676-Colorado-Ave-94306/home/1799164,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41078951,N,Y,37.432529,-122.128983
